q,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15,t16,t17,t18,t19,t20,t21,t22,t23,t24,t25,t26,t27,t28
0.21491,0.0012161,0.0017351,0.001121,0.0027322,0.0035415,0.003169,0.0049972,0.0038247,0.0042911,0.0057624,0.0046373,0.0069182,0.0050033,0.00404,0.0053607,0.0055228,0.0067889,0.0049042,0.0043539,0.0031684,0.0032536,0.0023761,0.0014302,0.00032769,-4.76E-05,0.00018939,-0.0012405,-0.00027132
0.21824,0.00054265,0.0016112,0.0010435,0.001896,0.0032475,0.0040823,0.0042695,0.0037471,0.0044208,0.0055865,0.0054444,0.0068079,0.0046214,0.0051167,0.005838,0.0056663,0.006476,0.0060244,0.0057092,0.0031137,0.0033684,0.0017221,0.0018201,0.00060974,-3.52E-06,0.00010492,-0.00076682,-0.0011728
0.22158,0.00036521,0.00024138,0.0014556,0.0028588,0.0030844,0.0035936,0.0045487,0.0052627,0.004324,0.0048918,0.0048295,0.0065367,0.004844,0.0055298,0.006396,0.0056843,0.0055625,0.0059462,0.0055592,0.0029667,0.0031535,0.0023692,0.0020377,0.00054023,0.00015489,-0.00023691,-0.00048348,-0.0002772
0.22491,0.00039357,0.00052967,0.0017137,0.0034176,0.0034618,0.0055608,0.0042022,0.0047715,0.0040155,0.0046547,0.0043429,0.0057221,0.0052264,0.0052467,0.0065999,0.0056854,0.0059484,0.004998,0.0062451,0.004047,0.0025825,0.0018829,0.0030172,0.00011646,9.67E-05,0.00040072,-0.00023228,-0.00069805
0.22824,0.0012698,0.0015818,0.0020376,0.0040554,0.0038148,0.0039203,0.0038267,0.0036783,0.0039093,0.0045572,0.0039699,0.0058672,0.004733,0.0051044,0.0055409,0.0048022,0.0058592,0.0054944,0.0047107,0.0039246,0.0020028,0.002697,0.0024196,-8.89E-05,-8.93E-05,0.00089469,-0.00058844,-0.00058826
0.23157,0.0017725,0.0024803,0.0021239,0.0041216,0.0040465,0.0041495,0.0040162,0.0049191,0.0038176,0.0056015,0.0047418,0.0058041,0.0046853,0.0048506,0.0051198,0.00436,0.0055204,0.0050656,0.0048216,0.0026007,0.0031502,0.0030397,0.0015574,-0.00029096,0.00037472,0.00020056,0.0003185,-0.00010203
0.2349,0.0021917,0.0038387,0.0031134,0.0033672,0.002342,0.0029004,0.0039306,0.0046169,0.0035455,0.0053213,0.0041129,0.0065182,0.0049603,0.0051262,0.0061122,0.0047088,0.0056276,0.0049785,0.0054272,0.0034601,0.0036023,0.0028146,0.0023012,8.67E-05,-0.00051138,0.00058088,-0.00079924,-0.00053651
0.23824,0.00081683,0.001496,0.002254,0.0029332,0.004839,0.0042521,0.0045774,0.0046599,0.0038923,0.0042621,0.0035973,0.0057334,0.004664,0.0050007,0.0050144,0.0048025,0.0053116,0.0049616,0.0047227,0.0023501,0.0024927,0.0017664,0.0019244,0.0004657,-5.14E-05,-7.34E-05,8.65E-05,0.00032737
0.24157,0.0011114,0.0020545,0.0022836,0.0029522,0.0031122,0.0031858,0.0046899,0.003906,0.0036058,0.0043437,0.0035397,0.0060071,0.0038609,0.0040594,0.0050316,0.0045806,0.0064815,0.0048731,0.0046172,0.0029983,0.0029472,0.0027577,0.0023559,-9.59E-05,-0.00084193,0.00035472,-0.00066501,-0.00045267
0.2449,0.0011916,0.0023367,0.0014771,0.0042907,0.0038446,0.0034952,0.0047076,0.0040138,0.0044507,0.004636,0.0041397,0.0056819,0.0043767,0.0047872,0.0051644,0.0047968,0.0057926,0.0056414,0.0040163,0.0029846,0.0034574,0.0026507,0.0021234,0.00013264,0.00014473,0.0010514,-0.0018818,-0.0010117
0.24823,0.0012932,0.0018063,0.0016889,0.0019917,0.0035776,0.0030048,0.0041173,0.003931,0.0042977,0.0041769,0.0049934,0.005713,0.004283,0.005006,0.0058424,0.0047601,0.0048436,0.0060444,0.0042948,0.0021257,0.0022032,0.0018125,0.00077154,0.00058718,0.00011743,-0.00071081,-0.0017549,-0.00072077
0.25156,0.0018041,0.0023115,0.0016731,0.0036881,0.0039477,0.0040336,0.00533,0.0037638,0.0038295,0.0052941,0.0039323,0.0063696,0.0039392,0.0052937,0.0050377,0.0045339,0.0057777,0.0051939,0.0039509,0.0022769,0.0022194,0.00085976,0.00083943,1.32E-05,-0.00028989,-0.00045175,-0.0013139,-0.00067265
0.2549,0.002666,0.0026517,0.0027738,0.0044238,0.0047239,0.0044636,0.0045863,0.0039132,0.0045799,0.004322,0.0042177,0.0057596,0.0042656,0.0042598,0.0047695,0.0040127,0.0050889,0.0048919,0.0046965,0.0021157,0.0018441,0.0011389,-0.00012606,2.73E-05,-0.00025019,-0.00039912,-0.0026589,-0.0012697
0.25823,0.0022804,0.0026853,0.0027838,0.0026466,0.0030966,0.0031286,0.004234,0.0045227,0.0033556,0.0041209,0.0033675,0.0054422,0.0053294,0.0043535,0.0049025,0.004969,0.0039101,0.0041348,0.0040833,0.0025916,0.0015904,0.000807,0.0005726,-7.96E-05,-0.0011168,-4.55E-05,-0.0021436,-0.0012661
0.26156,0.0021049,0.0018801,0.0021751,0.0031353,0.0033468,0.0020723,0.0034184,0.0037017,0.0038622,0.0047615,0.0039524,0.0060738,0.0044531,0.0033057,0.0043876,0.0043291,0.0056764,0.0050338,0.0029117,0.0016076,0.0021199,0.00060964,0.00075367,-0.00046771,-0.00057091,-0.00067302,-0.0017154,-0.0016049
0.26489,0.0013995,0.0019239,0.0020563,0.0034987,0.0038006,0.0031827,0.0042754,0.0035019,0.0043259,0.0043904,0.0036634,0.0050517,0.00357,0.0033655,0.0041413,0.0038607,0.0051184,0.004491,0.0036849,0.002267,0.0018256,0.0016999,0.0015181,-0.0010382,-9.35E-06,0.00026293,-0.0024594,-0.0017389
0.26822,0.0019696,0.0022404,0.0022154,0.0030304,0.0027826,0.0036219,0.0050608,0.0037001,0.0033065,0.004654,0.0027489,0.0050833,0.0042435,0.0033301,0.0037981,0.0051276,0.0054794,0.003849,0.0033964,0.0007567,0.0017311,0.00011917,-0.00012895,-0.00017102,-0.00064099,-0.0012115,-0.0025101,-0.0014552
0.27156,0.0028873,0.0022846,0.0015621,0.0033466,0.0032449,0.0030908,0.0039755,0.003893,0.0047005,0.0035156,0.0037066,0.0044293,0.0035416,0.0039536,0.0048043,0.0055615,0.0046562,0.0050471,0.0034115,0.0015496,0.0011289,0.00064035,-0.00015483,-0.00013125,-0.00042853,-0.00099569,-0.0013234,-0.0012242
0.27489,0.0019223,0.0019093,0.0018535,0.0014887,0.0022331,0.0006979,0.0035888,0.0040816,0.0043475,0.0035459,0.0044981,0.0042056,0.0025535,0.0041435,0.0048419,0.0049065,0.004742,0.004444,0.0041226,0.0013382,0.0015101,0.0005264,0.00029575,-0.00047951,-0.00060583,-0.00010745,-0.0012146,-0.00066699
0.27822,0.0016214,0.0013256,0.0017876,0.0020311,0.0019883,0.0020883,0.0041214,0.003056,0.0038877,0.0036492,0.0041766,0.0047927,0.0039056,0.0039905,0.0045533,0.004718,0.004904,0.004433,0.0035397,0.0016906,0.0013669,0.00094028,0.00060704,0.00027564,8.90E-05,-0.00043341,-0.00084213,-0.00048364
0.28155,0.0012429,0.0014345,0.00083865,0.0021501,0.0044597,0.0046495,0.0035082,0.0037805,0.0027843,0.0036298,0.0027501,0.0052999,0.0033909,0.0045563,0.0046314,0.0045439,0.0041352,0.0034662,0.0024891,0.0025795,0.0019066,0.0012548,0.0014546,0.00010578,-0.0010192,0.00070484,-0.0027969,-0.0017521
0.28488,0.0014956,0.0015117,0.0013888,0.0029858,0.0034905,0.0031564,0.0048948,0.0039397,0.0028222,0.0042947,0.0020009,0.004928,0.0032902,0.0041708,0.004594,0.0032981,0.0046133,0.0034615,0.0035584,0.0030084,0.0015933,0.0017817,0.0021426,0.00019976,-0.0007263,0.00066158,-0.0021225,-0.0015645
0.28822,0.0015234,0.002273,0.0017165,0.0015525,0.001115,0.0025363,0.0036095,0.003639,0.0032571,0.0046903,0.0028355,0.0053237,0.0039686,0.0042964,0.0044569,0.0037919,0.0048127,0.0032981,0.0036689,0.0021511,0.0018198,0.001762,0.0021474,-0.00010995,-0.00069577,0.00014201,-0.00065841,-0.00068943
0.29155,0.0009195,0.0015684,0.0019566,0.0022605,0.0027526,0.0035543,0.0041899,0.003857,0.0045666,0.0036816,0.004008,0.0042557,0.0034326,0.0039111,0.0037746,0.0041553,0.003896,0.0040851,0.0037951,0.0020098,0.0011888,0.0020205,0.0012314,0.00028313,-0.00083493,0.00026276,-0.00012605,-0.00040187
0.29488,8.12E-05,0.00078496,-0.00025973,0.0020568,0.002412,0.0024022,0.0042604,0.0031956,0.0031106,0.0037932,0.0024807,0.0045419,0.0036884,0.0029687,0.003794,0.004572,0.0045501,0.0033634,0.0041296,0.0026872,0.0017619,0.0017213,0.0015971,0.00029223,-0.0010875,2.75E-05,-0.0012048,-0.00097197
0.29821,0.00079436,0.0010947,0.00095433,0.0016549,0.0023392,0.003047,0.0047703,0.003403,0.0023603,0.0038112,0.0022757,0.0040161,0.0052431,0.0032609,0.003741,0.0043215,0.0036528,0.0033446,0.0029696,0.0018945,0.0013441,0.0012921,0.00098679,0.00082193,-0.0010842,-7.01E-05,-0.0012133,-0.0016337
0.30154,0.00087104,0.0018824,0.0021301,0.0018521,0.0031658,0.0029863,0.0044714,0.0040365,0.0029396,0.0032807,0.0028179,0.0032518,0.0040018,0.0036593,0.0043067,0.0042482,0.0035484,0.0039836,0.0029983,0.0015308,0.0011246,0.00079112,0.0010758,0.00037674,-0.0001846,-0.00013535,3.84E-05,3.31E-05
0.30487,0.00061702,0.0019998,0.0014476,0.0018955,0.0030508,0.002369,0.0036749,0.0026974,0.0031241,0.0037624,0.0035278,0.0047912,0.0032898,0.0037196,0.0041233,0.0041145,0.0042415,0.0038567,0.0037519,0.0020948,0.0015542,0.001276,0.0017241,-0.00021731,-8.16E-05,0.00019453,-0.00088472,-0.00064467
0.30821,0.0003013,0.0018108,0.00049052,0.0025927,0.0031071,0.0037223,0.0035178,0.002855,0.0034035,0.0031809,0.003483,0.0044212,0.0030026,0.0038698,0.004509,0.0033983,0.0044249,0.0037122,0.004224,0.0017311,0.0011119,0.0021858,0.0012915,-0.00043915,-0.00087369,0.00017688,-0.00089383,-0.0005465
0.31154,-0.00067345,0.00067845,0.00068365,0.0012541,0.0018142,0.0028665,0.0028148,0.0031562,0.0029985,0.0040949,0.0024381,0.0044205,0.002164,0.0038653,0.0038982,0.0041719,0.0048545,0.003677,0.0032811,0.00082118,0.0016336,0.0014734,0.0012095,-0.00090079,-0.0014737,-0.00043096,-0.00095208,-0.00094139
0.31487,1.25E-05,0.00098477,0.00090125,0.0038346,0.0031139,0.0020868,0.0041559,0.0025374,0.0028077,0.0035795,0.0027118,0.0053374,0.0033402,0.0033648,0.0039217,0.0036227,0.0041638,0.0032536,0.002404,0.0018632,0.001424,0.0015076,0.0010147,-0.00025905,6.15E-06,-0.00076378,-0.00025133,-0.00059717
0.3182,0.00064089,0.0021233,0.0018289,0.0032496,0.0033804,0.003303,0.0037004,0.0029347,0.0022349,0.0037971,0.0024331,0.0045011,0.0025622,0.0036333,0.0041852,0.0040058,0.0046045,0.0030576,0.0029049,0.0018661,0.001896,0.0013073,0.0012423,2.18E-05,-0.0010563,-0.00021735,-0.00076095,-0.0011153
0.32153,0.0018148,0.0018842,0.0019545,0.0019659,0.0012804,0.002155,0.0044383,0.0029651,0.002376,0.003958,0.0021734,0.0047298,0.0035734,0.0029432,0.0036383,0.0055098,0.0048456,0.0034389,0.0032078,0.0025678,0.0017658,0.0010773,0.0018269,7.09E-05,-0.0008311,0.00044905,-0.0010687,-0.00083314
0.32487,0.001898,0.0021331,0.00097268,0.0016226,0.0021813,0.0017302,0.0040426,0.0033574,0.0027869,0.0041014,0.002637,0.004566,0.00372,0.0033183,0.0039684,0.0042295,0.0045557,0.0034759,0.0030195,0.0019017,0.0018035,0.0019768,0.00083596,6.14E-05,-0.00015784,0.00050191,-0.0011716,-0.00096119
0.3282,0.0016681,0.0016509,0.0018506,0.0014427,0.0015976,0.003297,0.0038439,0.0029236,0.0025557,0.0041978,0.0029987,0.0051834,0.0034567,0.0035307,0.0038166,0.0037978,0.0045607,0.0029518,0.0021749,0.0017298,0.0016054,0.0019139,0.0015066,-0.0001299,-0.0010267,0.00072491,-0.00099022,-0.00026821
0.33153,0.00073247,0.0012484,0.0019692,0.0017335,0.0021369,0.0023351,0.003713,0.0033091,0.0031692,0.003552,0.0027127,0.0045658,0.0025672,0.0031007,0.0035812,0.0038965,0.0045361,0.0033976,0.0028191,0.0014254,0.00081674,0.0010843,0.0015749,0.0002133,-0.00089495,0.00041344,-0.0014908,-0.0011146
0.33486,0.00036692,0.0020217,0.0016156,0.0031884,0.0032092,0.003111,0.0026356,0.0030409,0.0029141,0.0029292,0.0030651,0.0038348,0.0025165,0.0037384,0.0041671,0.0030815,0.0040313,0.0042057,0.0032588,0.0016889,0.0011052,0.00010343,0.00067632,-0.0011643,-0.00064724,8.38E-05,-0.0011441,-0.00062563
0.33819,0.00063586,0.0013956,0.0013332,0.0020628,0.0014726,0.0030857,0.0029,0.0032357,0.0021828,0.003846,0.0023142,0.0046716,0.0026893,0.0031126,0.0039631,0.0033271,0.0043173,0.0034809,0.0034392,0.0012718,0.0018189,0.00022818,0.0008245,-0.00087394,-0.00057908,-0.00011904,-0.0012973,-0.00045855
0.34153,0.0013797,0.0024125,0.002006,0.0004013,0.000237,0.0006928,0.0026294,0.0028918,0.0026031,0.0035719,0.0030125,0.004059,0.0030288,0.0027524,0.0037111,0.0036759,0.0041357,0.0034155,0.0026587,0.0015518,0.0011968,0.0013229,0.00082515,-9.78E-05,-0.00032487,0.00072653,-0.00078419,0.00049836
0.34486,0.001415,0.0020973,0.0020009,0.0013103,0.0023036,0.00098075,0.003258,0.0029798,0.002311,0.0029323,0.0021924,0.0029323,0.0030891,0.0034227,0.0039329,0.0042199,0.0036888,0.0032734,0.0031388,0.0010593,0.00071476,0.0016024,0.00030383,-0.00040878,-0.0010762,-0.00054837,-0.00042406,0.00014185
0.34819,0.00090983,0.0017971,0.0013473,0.0032572,0.0042444,0.0024967,0.0027555,0.0024701,0.0026057,0.0026459,0.0023852,0.0038944,0.0026174,0.0041244,0.0042631,0.0030432,0.0040552,0.0030976,0.0030996,0.0010511,0.0010001,0.00038465,0.00063832,-0.00053096,1.71E-05,0.0006537,-0.00087885,-0.00028013
0.35152,0.00048452,0.0010894,0.00049485,0.0018493,0.0024949,0.0013383,0.0032253,0.0025549,0.0028863,0.0027313,0.0027836,0.0028928,0.0022932,0.0029987,0.0036777,0.0039816,0.0039527,0.0040346,0.0027294,0.0016481,0.00027449,0.0018686,0.00073954,-0.00022127,0.00036839,0.0009066,-0.00088344,-0.00048815
0.35485,0.0015034,0.0013608,0.0020234,0.0012109,0.0019878,0.0030456,0.0031655,0.0025565,0.0026592,0.0031929,0.00247,0.0034657,0.0027637,0.0024639,0.0039874,0.0038305,0.0041736,0.0030305,0.0029375,0.0029245,0.00070413,0.0021184,0.0016556,-0.00032875,-0.00026281,0.0015875,-0.00014855,-6.60E-05
0.35819,0.0009758,0.0014179,0.0016583,0.00072019,0.0022121,0.001733,0.0030271,0.0034558,0.0021879,0.0033379,0.0021286,0.0039323,0.002864,0.0031633,0.0037786,0.00382,0.0033998,0.0027177,0.0037644,0.0009834,0.0010911,0.0010886,0.00048927,6.68E-05,-0.0004354,-0.00019631,-0.0015916,-0.00038412
0.36152,0.00088005,0.0018554,0.0010456,0.00031148,0.00081803,0.0016476,0.0030702,0.0030565,0.001957,0.0033319,0.0021843,0.0037148,0.003089,0.0031343,0.0039433,0.0036845,0.0040995,0.0034112,0.0037219,0.0014875,0.0013005,0.0014818,0.0015249,0.00050654,-0.00052439,-6.47E-05,-0.0010691,-0.00084934
0.36485,0.00053733,0.00065896,0.001066,0.0013412,0.0019021,0.0027198,0.003552,0.0025372,0.0022795,0.0029897,0.0023634,0.0035847,0.0029076,0.0029973,0.0026078,0.0044348,0.0031782,0.0027061,0.0027026,0.001203,0.00094734,0.0016546,0.0013087,0.00045437,-0.00091601,0.00062911,-0.000309,3.82E-05
0.36818,0.0011272,0.00073816,0.0011864,0.0013764,0.0014875,0.0016703,0.003601,0.0029568,0.0020473,0.002678,0.0021794,0.0035661,0.0039289,0.0026124,0.0030828,0.0039298,0.0030847,0.002953,0.0025153,0.0012042,0.0011597,0.0012317,0.00062456,0.00051068,-0.0014413,0.00035729,-0.0016184,-0.00057979
0.37151,0.00064954,0.00093572,0.0013474,0.00101,0.0019196,0.0021962,0.0036118,0.0028692,0.0022378,0.0026597,0.0018583,0.0035413,0.0033152,0.0027566,0.0029145,0.0034278,0.003331,0.0024361,0.00193,0.0012428,0.0008751,0.00088473,0.00017215,-0.00063225,-0.00096705,0.00026122,0.00018572,-0.00052662
0.37485,0.0012237,0.0016373,0.0017037,0.0012303,0.0015652,0.002476,0.0030763,0.0024905,0.0029295,0.0027198,0.0021662,0.0033868,0.002675,0.003249,0.0033891,0.0034339,0.0036487,0.00295,0.0026881,0.0017819,0.0008886,0.00062243,0.00032136,-0.00010735,-0.0004035,-9.96E-06,-0.0010724,-0.00052245
0.37818,0.0010969,0.0017231,0.0018012,0.0013272,-2.80E-05,0.0023957,0.0028892,0.0025985,0.00248,0.002751,0.0017842,0.0030583,0.0030309,0.0031655,0.0033028,0.0036854,0.0036497,0.0026013,0.0028431,0.0018899,0.0012019,0.00095354,0.0005634,-0.00021012,-0.00038258,0.00051013,-0.0015607,-0.000679
0.38151,0.0016251,0.0016191,0.001878,0.0010806,0.00039407,0.0025783,0.0025665,0.001923,0.0025694,0.0021435,0.0025349,0.002052,0.0026639,0.0030544,0.002943,0.0028937,0.003064,0.0028964,0.002302,0.0010969,0.00029212,0.00044108,0.00062178,-0.00040766,0.00018286,-0.00054018,-0.0013497,-3.05E-05
0.38484,0.0011631,0.00077408,0.0011434,0.0020614,0.00088474,0.0020198,0.0034042,0.0021588,0.0019853,0.0028328,0.0017624,0.0037004,0.0027935,0.0027516,0.0029418,0.0032839,0.0034669,0.0027988,0.0025014,0.00061317,0.0012349,-0.00011599,0.00058686,0.00019888,-0.0008166,3.26E-07,-5.05E-05,0.00067614
0.38817,0.0013155,0.0015303,0.0013841,0.0020366,0.0018038,0.0034415,0.0033024,0.0027537,0.0014612,0.0030441,0.0013997,0.0040799,0.002032,0.0023007,0.0035281,0.003276,0.0035526,0.0018961,0.0029007,0.00054638,0.0012331,0.00042212,0.00098639,-0.00023414,-0.00078343,0.00088327,-0.00078158,-0.0001973
0.39151,0.0010657,0.0013868,0.0018116,0.0040828,0.0019113,0.0027311,0.0032129,0.0030312,0.0022542,0.0028705,0.0011984,0.0026505,0.0027978,0.0031799,0.0039315,0.0033113,0.0031019,0.0023561,0.0034641,0.00012114,0.0010851,0.0001552,-0.00012139,-0.00053019,-0.0010107,-3.23E-05,-0.0020478,-0.00094193
0.39484,0.00050351,0.0011244,0.00091518,0.0041627,0.0025055,0.001918,0.0032983,0.0022569,0.002578,0.0029721,0.0022101,0.0030164,0.0022428,0.0021272,0.0034785,0.0025915,0.0036585,0.0033482,0.0027781,0.00057631,0.00077085,7.76E-06,-0.00016949,-0.00045336,-5.13E-05,-0.00024811,-0.0016962,-0.0011727
0.39817,0.0010038,0.0010572,0.0014391,0.001218,0.0013316,0.0012387,0.0032061,0.0023511,0.0019832,0.0031578,0.0022718,0.0037195,0.0019525,0.0027334,0.0025844,0.0026169,0.0038111,0.0027316,0.0023503,0.00062048,0.0014302,-0.00027017,-0.00032231,-0.00063,-0.00092582,-0.00095563,-0.00042289,0.00061083
0.4015,0.00036107,0.00054991,0.00078156,0.00045493,0.0010166,0.0029699,0.003112,0.002636,0.002542,0.0024864,0.0018488,0.0032001,0.0024091,0.003425,0.003084,0.0027927,0.0034228,0.0026046,0.003041,0.0011589,0.00093978,0.00068538,0.00032759,0.00025071,-0.00063484,-0.00018833,-0.00099905,-5.36E-06
