,x,G1,G2
0,0.0001,0.0,0.0
1,0.01018989898989899,0.0,0.0
2,0.02027979797979798,0.0,0.0
3,0.030369696969696974,1.3963180690121048e-55,0.0
4,0.040459595959595966,1.5328300202889346e-31,0.0
5,0.050549494949494955,3.580337798231788e-21,5.272745182695532e-53
6,0.060639393939393944,4.292724980949134e-15,6.469729666104181e-18
7,0.07072929292929293,8.429262730780185e-12,4.433946494021887e-14
8,0.08081919191919193,2.5534882892104406e-08,1.9683695261209906e-11
9,0.09090909090909091,2.337420210001705e-07,1.3167084066465308e-09
10,0.10099898989898991,1.7636000322356973e-06,2.1087197126933473e-07
11,0.1110888888888889,1.2242388885734164e-05,1.0897594807008542e-06
12,0.12117878787878789,5.690665933977103e-05,4.390449330261567e-06
13,0.13126868686868687,0.00016559994600380806,1.5722563692500622e-05
14,0.14135858585858588,0.00041258346992868473,4.1670572413085985e-05
15,0.15144848484848486,0.0009613896875718272,9.916187489441323e-05
16,0.16153838383838384,0.0019054833389332937,0.00018861806532448
17,0.17162828282828285,0.00338821712551601,0.00033840195381303707
18,0.18171818181818183,0.005382986550583453,0.0005198696757539168
19,0.19180808080808082,0.007950237748522965,0.0007347964345297204
20,0.20189797979797983,0.010753872771248958,0.000981760524777571
21,0.2119878787878788,0.013437410942349817,0.0012049989378266424
22,0.2220777777777778,0.016239100924794674,0.0014563758874204407
23,0.2321676767676768,0.01893597728363705,0.0017075422447733943
24,0.24225757575757578,0.021451440155367017,0.0019437820316967375
25,0.25234747474747476,0.024204035647782,0.002192972216996595
26,0.26243737373737375,0.026909266077202256,0.002461368262200534
27,0.27252727272727273,0.029735972067529228,0.0027399797149846566
28,0.28261717171717177,0.03269549522538423,0.0030361514817656772
29,0.29270707070707075,0.03579635640487749,0.00335382275340117
30,0.30279696969696973,0.03911333166963032,0.00369842773824235
31,0.3128868686868687,0.0423687816590302,0.00404558613113671
32,0.3229767676767677,0.04605546310329689,0.004442668664248286
33,0.3330666666666667,0.05004921047430038,0.004873086493194317
34,0.3431565656565657,0.054027167348055766,0.005324317913509011
35,0.3532464646464647,0.05803437139846735,0.005832703767949358
36,0.3633363636363637,0.06290474240497282,0.006356955864944688
37,0.37342626262626266,0.06798280334615082,0.00696372747643662
38,0.38351616161616164,0.07303708921084753,0.007608270912072252
39,0.3936060606060606,0.07812612581809014,0.008310720221524764
40,0.4036959595959596,0.08431095854060892,0.009102617471867346
41,0.41378585858585865,0.09090504500108869,0.009919334416310896
42,0.42387575757575763,0.09779759080138258,0.010834197648959648
43,0.4339656565656566,0.10465357344388283,0.011911748448984799
44,0.4440555555555556,0.11190838507861786,0.01300791250556004
45,0.4541454545454546,0.12009012678643517,0.01417812752245249
46,0.46423535353535356,0.1299677508870579,0.015619957549097074
47,0.4743252525252526,0.1398959736328573,0.01712529370274844
48,0.4844151515151516,0.15001592715060724,0.01865732697347128
49,0.49450505050505056,0.1597382198442,0.020460923305695308
50,0.5045949494949495,0.17016553851029007,0.022526010156062176
51,0.5146848484848485,0.18191494010090709,0.024775538301083717
52,0.5247747474747475,0.19480869390458652,0.027125004180544726
53,0.5348646464646465,0.2119053327837307,0.029818279002064962
54,0.5449545454545455,0.22918288182833985,0.03278861479778236
55,0.5550444444444445,0.2479492728631321,0.03623030754844973
56,0.5651343434343434,0.2653649395922665,0.03983936483101312
57,0.5752242424242425,0.2827355793855713,0.043795388803947295
58,0.5853141414141415,0.2997061193040813,0.04846851019428248
59,0.5954040404040405,0.317794752717104,0.05348192860660661
60,0.6054939393939395,0.33854578514395106,0.05929303935114165
61,0.6155838383838385,0.3626840477893158,0.06553906120279646
62,0.6256737373737374,0.3886545177515202,0.07222445751666977
63,0.6357636363636364,0.4228045089347861,0.07991851327227215
64,0.6458535353535354,0.462009142885232,0.08908612564980514
65,0.6559434343434344,0.5040089216199243,0.09909220754264174
66,0.6660333333333334,0.5481413594559644,0.11055140316039849
67,0.6761232323232323,0.5887692225682691,0.12281732889784003
68,0.6862131313131313,0.6310648649922277,0.1367790308390794
69,0.6963030303030303,0.6665245934383754,0.1517038431807141
70,0.7063929292929294,0.7048238799111077,0.16933423100976966
71,0.7164828282828284,0.7464896176453846,0.19019694801807682
72,0.7265727272727274,0.7941832208593825,0.2143405994215258
73,0.7366626262626264,0.8438491418271724,0.24104975858019542
74,0.7467525252525253,0.9012263935906445,0.2720038125926898
75,0.7568424242424243,0.9665215671215297,0.3060706760066425
76,0.7669323232323233,1.0439560149623726,0.34513926177891263
77,0.7770222222222223,1.1304094828327116,0.38813707176858653
78,0.7871121212121213,1.2282020237300162,0.4385659087492417
79,0.7972020202020202,1.3763172025033996,0.5018622151043904
80,0.8072919191919192,1.5291561870311368,0.5752167528286307
81,0.8173818181818182,1.701092445295518,0.661628095161892
82,0.8274717171717173,1.8733210051507307,0.7613934172976389
83,0.8375616161616163,2.080930717188676,0.882378108934364
84,0.8476515151515153,2.25895466942669,1.0175434711772309
85,0.8577414141414142,2.451129615593815,1.1810425762454517
86,0.8678313131313132,2.604107920771016,1.3651810906373627
87,0.8779212121212122,2.768307725600785,1.5936720156141957
88,0.8880111111111112,2.943701974977637,1.8698825581537182
89,0.8981010101010102,3.129914676347049,2.2110676087618013
90,0.9081909090909092,3.3309885936189896,2.673986946696514
91,0.9182808080808081,3.554522041445591,3.2565426544612572
92,0.9283707070707071,3.7928554271717307,3.9937519814161964
93,0.9384606060606061,4.0686108096401865,4.946616056637332
94,0.9485505050505051,4.408032416800292,6.180307467418498
95,0.9586404040404042,4.795344590783514,7.844272189432734
96,0.9687303030303032,5.333910178063903,9.987902741239147
97,0.9788202020202021,6.00157238649232,12.918108629014803
98,0.9889101010101011,7.049366916803824,16.700162750006914
99,0.999,10.6428722716597,23.252856701012583
