Kawhi Leonard,LeBron James,Giannis Antetokounmpo,James Harden,Anthony Davis,Stephen Curry 
30,18,30,19,25,23
21,32,29,29,21,23
27,20,14,40,29,26
30,23,22,59,40,9
38,39,29,36,31,
30,21,36,29,25,
27,30,34,44,15,
12,25,38,36,26,
26,13,30,42,27,
17,19,35,39,24,
24,23,38,47,17,
26,29,26,44,14,
28,33,33,49,34,
19,25,33,36,33,
34,23,24,27,22,
11,30,28,37,19,
17,33,50,32,41,
34,29,30,34,26,
23,23,33,60,27,
42,25,26,50,25,
20,25,29,23,26,
25,20,35,34,39,
26,31,27,27,50,
35,32,32,55,16,
19,25,37,54,33,
24,28,29,39,27,
18,32,48,28,36,
24,25,34,28,32,
36,28,22,47,24,
30,32,18,34,20,
43,20,18,24,23,
32,21,23,44,26,
39,23,32,35,46,
36,21,32,44,24,
33,13,24,41,5,
31,31,30,17,9,
31,17,13,32,28,
22,21,32,41,16,
14,31,37,13,31,
29,35,32,34,37,
30,31,29,29,21,
28,19,28,27,18,
31,31,30,12,32,
25,15,31,18,27,
24,21,30,35,25,
19,27,34,40,33,
30,29,36,40,28,
25,22,18,14,32,
25,15,33,32,21,
27,36,31,28,23,
23,18,22,42,15,
28,22,19,29,37,
24,17,32,38,30,
27,32,41,37,30,
29,32,13,30,26,
39,39,29,21,34,
26,40,32,35,14,
29,19,36,16,42,
35,34,36,30,9,
36,22,16,23,17,
32,37,33,37,8,
32,28,34,49,27,
33,29,12,24,28,
29,16,31,23,31,
13,20,28,39,29,
23,22,35,32,18,
30,19,31,45,43,
36,31,28,27,25,
25,29,18,37,34,
14,17,29,21,26,
,,21,38,29,
,,19,32,13,
,,,31,37,
,,,32,31,
,,,17,27,
,,,36,34,
,,,27,32,
,,,33,15,
,,,21,22,
,,,30,28,
,,,,,
70,70,72,80,80,4
27.28571429,25.61428571,29.125,33.625,26.5,20.25
43,40,50,60,50,26
11,13,12,12,5,9