starID,time,mass,x,y,z
0,529.130,1.00,-1.258,-2.483,0.069
1,529.130,0.75,-1.313,-2.399,-0.024
2,529.130,1.20,2.159,7.415,0.921
3,529.130,0.70,-1.311,-2.242,-0.113
4,529.130,1.10,0.517,-2.770,-0.979
0,529.718,1.00,-1.206,-2.399,0.049
1,529.718,0.75,-1.312,-2.470,0.022
2,529.718,1.20,2.165,7.479,0.928
3,529.718,0.70,-1.413,-2.419,-0.132
4,529.718,1.10,0.528,-2.754,-0.988
0,530.305,1.00,-1.169,-2.408,0.070
1,530.305,0.75,-1.367,-2.417,-0.079
2,530.305,1.20,2.171,7.543,0.935
3,530.305,0.70,-1.430,-2.598,-0.056
4,530.305,1.10,0.536,-2.738,-0.995
0,530.892,1.00,-1.195,-2.436,0.052
1,530.892,0.75,-1.395,-2.416,-0.149
2,530.892,1.20,2.177,7.606,0.942
3,530.892,0.70,-1.383,-2.695,0.044
4,530.892,1.10,0.543,-2.722,-1.001
0,531.479,1.00,-1.264,-2.483,0.004
1,531.479,0.75,-1.386,-2.441,-0.169
2,531.479,1.20,2.183,7.670,0.949
3,531.479,0.70,-1.313,-2.736,0.129
4,531.479,1.10,0.548,-2.705,-1.006
0,532.067,1.00,-1.344,-2.511,-0.103
1,532.067,0.75,-1.363,-2.540,-0.079
2,532.067,1.20,2.188,7.733,0.956
3,532.067,0.70,-1.237,-2.724,0.181
4,532.067,1.10,0.551,-2.688,-1.010
0,532.654,1.00,-1.297,-2.573,-0.053
1,532.654,0.75,-1.491,-2.625,-0.160
2,532.654,1.20,2.194,7.796,0.963
3,532.654,0.70,-1.177,-2.680,0.190
4,532.654,1.10,0.551,-2.670,-1.013
0,533.241,1.00,-1.301,-2.671,-0.002
1,533.241,0.75,-1.520,-2.678,-0.198
2,533.241,1.20,2.200,7.860,0.970
3,533.241,0.70,-1.148,-2.620,0.148
4,533.241,1.10,0.550,-2.653,-1.015
0,533.828,1.00,-1.294,-2.754,0.059
1,533.828,0.75,-1.506,-2.727,-0.197
2,533.828,1.20,2.205,7.923,0.976
3,533.828,0.70,-1.179,-2.583,0.050
4,533.828,1.10,0.548,-2.636,-1.016
0,534.416,1.00,-1.270,-2.787,0.097
1,534.416,0.75,-1.453,-2.773,-0.159
2,534.416,1.20,2.211,7.985,0.983
3,534.416,0.70,-1.272,-2.623,-0.056
4,534.416,1.10,0.543,-2.618,-1.016
0,535.003,1.00,-1.265,-2.779,0.071
1,535.003,0.75,-1.347,-2.754,-0.085
2,535.003,1.20,2.217,8.048,0.990
3,535.003,0.70,-1.393,-2.789,-0.112
4,535.003,1.10,0.536,-2.601,-1.015
0,535.590,1.00,-1.314,-2.731,-0.031
1,535.590,0.75,-1.341,-2.774,-0.096
2,535.590,1.20,2.222,8.111,0.997
3,535.590,0.70,-1.324,-2.969,0.030
4,535.590,1.10,0.527,-2.584,-1.013
0,536.178,1.00,-1.321,-2.780,-0.036
1,536.178,0.75,-1.410,-2.783,-0.217
2,536.178,1.20,2.228,8.173,1.004
3,536.178,0.70,-1.233,-3.025,0.150
4,536.178,1.10,0.517,-2.567,-1.010
0,536.765,1.00,-1.358,-2.853,-0.103
1,536.765,0.75,-1.423,-2.794,-0.225
2,536.765,1.20,2.233,8.236,1.011
3,536.765,0.70,-1.155,-3.041,0.236
4,536.765,1.10,0.504,-2.550,-1.006
0,537.352,1.00,-1.385,-2.859,-0.140
1,537.352,0.75,-1.435,-2.909,-0.252
2,537.352,1.20,2.239,8.298,1.017
3,537.352,0.70,-1.091,-3.043,0.298
4,537.352,1.10,0.490,-2.534,-1.000
0,537.939,1.00,-1.383,-2.944,-0.139
1,537.939,0.75,-1.472,-2.923,-0.316
2,537.939,1.20,2.244,8.361,1.024
3,537.939,0.70,-1.037,-3.038,0.343
4,537.939,1.10,0.473,-2.518,-0.994
0,538.527,1.00,-1.416,-3.018,-0.210
1,538.527,0.75,-1.454,-2.953,-0.273
2,538.527,1.20,2.250,8.423,1.031
3,538.527,0.70,-0.991,-3.031,0.375
4,538.527,1.10,0.455,-2.502,-0.987
0,539.114,1.00,-1.409,-3.032,-0.190
1,539.114,0.75,-1.480,-3.063,-0.341
2,539.114,1.20,2.255,8.485,1.038
3,539.114,0.70,-0.951,-3.023,0.396
4,539.114,1.10,0.435,-2.487,-0.978
0,539.701,1.00,-1.406,-3.119,-0.200
1,539.701,0.75,-1.491,-3.075,-0.363
2,539.701,1.20,2.260,8.547,1.044
3,539.701,0.70,-0.917,-3.014,0.408
4,539.701,1.10,0.413,-2.473,-0.969
0,540.288,1.00,-1.445,-3.146,-0.286
1,540.288,0.75,-1.439,-3.167,-0.278
2,540.288,1.20,2.266,8.609,1.051
3,540.288,0.70,-0.889,-3.006,0.411
4,540.288,1.10,0.388,-2.459,-0.959
0,540.876,1.00,-1.403,-3.205,-0.218
1,540.876,0.75,-1.487,-3.212,-0.391
2,540.876,1.20,2.271,8.670,1.058
3,540.876,0.70,-0.865,-3.000,0.406
4,540.876,1.10,0.362,-2.446,-0.947
0,541.463,1.00,-1.401,-3.286,-0.243
1,541.463,0.75,-1.474,-3.225,-0.376
2,541.463,1.20,2.276,8.732,1.064
3,541.463,0.70,-0.846,-2.995,0.394
4,541.463,1.10,0.334,-2.434,-0.935
0,542.050,1.00,-1.407,-3.290,-0.266
1,542.050,0.75,-1.446,-3.339,-0.359
2,542.050,1.20,2.281,8.794,1.071
3,542.050,0.70,-0.830,-2.991,0.376
4,542.050,1.10,0.305,-2.422,-0.921
0,542.638,1.00,-1.374,-3.368,-0.234
1,542.638,0.75,-1.463,-3.349,-0.411
2,542.638,1.20,2.287,8.855,1.078
3,542.638,0.70,-0.819,-2.990,0.351
4,542.638,1.10,0.273,-2.412,-0.906
0,543.225,1.00,-1.376,-3.436,-0.276
1,543.225,0.75,-1.426,-3.368,-0.359
2,543.225,1.20,2.292,8.916,1.084
3,543.225,0.70,-0.812,-2.992,0.320
4,543.225,1.10,0.239,-2.403,-0.890
0,543.812,1.00,-1.351,-3.439,-0.251
1,543.812,0.75,-1.417,-3.471,-0.395
2,543.812,1.20,2.297,8.978,1.091
3,543.812,0.70,-0.808,-2.996,0.283
4,543.812,1.10,0.203,-2.395,-0.873
0,544.399,1.00,-1.321,-3.513,-0.239
1,544.399,0.75,-1.409,-3.473,-0.407
2,544.399,1.20,2.302,9.039,1.098
3,544.399,0.70,-0.808,-3.003,0.239
4,544.399,1.10,0.165,-2.388,-0.855
0,544.987,1.00,-1.335,-3.550,-0.310
1,544.987,0.75,-1.337,-3.519,-0.306
2,544.987,1.20,2.307,9.100,1.104
3,544.987,0.70,-0.813,-3.015,0.189
4,544.987,1.10,0.125,-2.382,-0.835
0,545.574,1.00,-1.274,-3.571,-0.230
1,545.574,0.75,-1.356,-3.579,-0.401
2,545.574,1.20,2.313,9.161,1.111
3,545.574,0.70,-0.821,-3.031,0.133
4,545.574,1.10,0.083,-2.378,-0.814
0,546.161,1.00,-1.246,-3.634,-0.236
1,546.161,0.75,-1.325,-3.576,-0.379
2,546.161,1.20,2.318,9.222,1.118
3,546.161,0.70,-0.833,-3.052,0.071
4,546.161,1.10,0.038,-2.376,-0.792
0,546.748,1.00,-1.233,-3.620,-0.254
1,546.748,0.75,-1.265,-3.666,-0.336
2,546.748,1.20,2.323,9.283,1.124
3,546.748,0.70,-0.851,-3.080,0.003
4,546.748,1.10,-0.009,-2.376,-0.768
0,547.336,1.00,-1.172,-3.672,-0.203
1,547.336,0.75,-1.262,-3.657,-0.382
2,547.336,1.20,2.328,9.344,1.131
3,547.336,0.70,-0.873,-3.116,-0.072
4,547.336,1.10,-0.058,-2.379,-0.743
0,547.923,1.00,-1.145,-3.713,-0.228
1,547.923,0.75,-1.204,-3.649,-0.324
2,547.923,1.20,2.333,9.404,1.137
3,547.923,0.70,-0.901,-3.164,-0.152
4,547.923,1.10,-0.109,-2.383,-0.716
0,548.510,1.00,-1.099,-3.683,-0.196
1,548.510,0.75,-1.162,-3.715,-0.338
2,548.510,1.20,2.338,9.465,1.144
3,548.510,0.70,-0.937,-3.226,-0.238
4,548.510,1.10,-0.164,-2.391,-0.688
0,549.097,1.00,-1.037,-3.711,-0.173
1,549.097,0.75,-1.128,-3.679,-0.342
2,549.097,1.20,2.343,9.526,1.151
3,549.097,0.70,-0.980,-3.313,-0.324
4,549.097,1.10,-0.221,-2.402,-0.658
0,549.685,1.00,-1.021,-3.693,-0.239
1,549.685,0.75,-1.023,-3.663,-0.236
2,549.685,1.20,2.348,9.586,1.157
3,549.685,0.70,-1.031,-3.436,-0.403
4,549.685,1.10,-0.280,-2.416,-0.628
0,550.272,1.00,-0.933,-3.630,-0.179
1,550.272,0.75,-1.019,-3.641,-0.349
2,550.272,1.20,2.353,9.646,1.164
3,550.272,0.70,-1.072,-3.626,-0.429
4,550.272,1.10,-0.342,-2.434,-0.596
0,550.859,1.00,-0.894,-3.615,-0.226
1,550.859,0.75,-1.055,-3.596,-0.458
2,550.859,1.20,2.358,9.707,1.170
3,550.859,0.70,-0.996,-3.762,-0.308
4,550.859,1.10,-0.406,-2.456,-0.563
0,551.447,1.00,-0.909,-3.654,-0.323
1,551.447,0.75,-1.064,-3.620,-0.499
2,551.447,1.20,2.363,9.767,1.177
3,551.447,0.70,-0.869,-3.742,-0.189
4,551.447,1.10,-0.473,-2.484,-0.529
0,552.034,1.00,-0.952,-3.730,-0.409
1,552.034,0.75,-1.009,-3.667,-0.465
2,552.034,1.20,2.368,9.827,1.183
3,552.034,0.70,-0.767,-3.635,-0.168
4,552.034,1.10,-0.541,-2.516,-0.495
0,552.621,1.00,-0.911,-3.743,-0.387
1,552.621,0.75,-1.028,-3.781,-0.525
2,552.621,1.20,2.373,9.887,1.190
3,552.621,0.70,-0.704,-3.536,-0.203
4,552.621,1.10,-0.612,-2.555,-0.459
0,553.208,1.00,-0.863,-3.809,-0.371
1,553.208,0.75,-1.028,-3.797,-0.553
2,553.208,1.20,2.377,9.947,1.196
3,553.208,0.70,-0.666,-3.456,-0.263
4,553.208,1.10,-0.684,-2.601,-0.423
0,553.796,1.00,-0.843,-3.857,-0.391
1,553.796,0.75,-0.975,-3.808,-0.523
2,553.796,1.20,2.382,10.007,1.203
3,553.796,0.70,-0.646,-3.395,-0.336
4,553.796,1.10,-0.757,-2.654,-0.386
0,554.383,1.00,-0.834,-3.840,-0.409
1,554.383,0.75,-0.895,-3.876,-0.491
2,554.383,1.20,2.387,10.067,1.209
3,554.383,0.70,-0.639,-3.348,-0.414
4,554.383,1.10,-0.829,-2.718,-0.349
0,554.970,1.00,-0.750,-3.861,-0.363
1,554.970,0.75,-0.906,-3.866,-0.541
2,554.970,1.20,2.392,10.127,1.216
3,554.970,0.70,-0.644,-3.313,-0.492
4,554.970,1.10,-0.900,-2.793,-0.314
0,555.557,1.00,-0.705,-3.874,-0.366
1,555.557,0.75,-0.860,-3.842,-0.528
2,555.557,1.20,2.397,10.187,1.222
3,555.557,0.70,-0.660,-3.286,-0.565
4,555.557,1.10,-0.967,-2.880,-0.281
0,556.145,1.00,-0.710,-3.861,-0.420
1,556.145,0.75,-0.747,-3.825,-0.448
2,556.145,1.20,2.402,10.246,1.228
3,556.145,0.70,-0.686,-3.269,-0.628
4,556.145,1.10,-1.029,-2.979,-0.253
0,556.732,1.00,-0.623,-3.809,-0.362
1,556.732,0.75,-0.758,-3.834,-0.522
2,556.732,1.20,2.406,10.306,1.235
3,556.732,0.70,-0.721,-3.262,-0.676
4,556.732,1.10,-1.083,-3.090,-0.233
0,557.319,1.00,-0.569,-3.788,-0.353
1,557.319,0.75,-0.733,-3.772,-0.532
2,557.319,1.20,2.411,10.365,1.241
3,557.319,0.70,-0.763,-3.269,-0.708
4,557.319,1.10,-1.128,-3.212,-0.220
0,557.906,1.00,-0.559,-3.753,-0.388
1,557.906,0.75,-0.663,-3.701,-0.488
2,557.906,1.20,2.416,10.425,1.248
3,557.906,0.70,-0.808,-3.293,-0.722
4,557.906,1.10,-1.161,-3.342,-0.216
0,558.494,1.00,-0.540,-3.647,-0.384
1,558.494,0.75,-0.629,-3.697,-0.500
2,558.494,1.20,2.421,10.484,1.254
3,558.494,0.70,-0.852,-3.335,-0.715
4,558.494,1.10,-1.179,-3.479,-0.223
0,559.081,1.00,-0.499,-3.594,-0.363
1,559.081,0.75,-0.658,-3.599,-0.542
2,559.081,1.20,2.425,10.543,1.261
3,559.081,0.70,-0.888,-3.398,-0.684
4,559.081,1.10,-1.179,-3.618,-0.241
0,559.668,1.00,-0.511,-3.540,-0.388
1,559.668,0.75,-0.666,-3.486,-0.532
2,559.668,1.20,2.430,10.603,1.267
3,559.668,0.70,-0.900,-3.485,-0.622
4,559.668,1.10,-1.159,-3.754,-0.271
0,560.256,1.00,-0.597,-3.465,-0.462
1,560.256,0.75,-0.649,-3.409,-0.472
2,560.256,1.20,2.435,10.662,1.273
3,560.256,0.70,-0.865,-3.582,-0.525
4,560.256,1.10,-1.120,-3.878,-0.313
0,560.843,1.00,-0.650,-3.384,-0.419
1,560.843,0.75,-0.754,-3.393,-0.575
2,560.843,1.20,2.439,10.721,1.280
3,560.843,0.70,-0.777,-3.650,-0.405
4,560.843,1.10,-1.062,-3.983,-0.365
0,561.430,1.00,-0.725,-3.391,-0.439
1,561.430,0.75,-0.864,-3.339,-0.575
2,561.430,1.20,2.444,10.780,1.286
3,561.430,0.70,-0.677,-3.669,-0.300
4,561.430,1.10,-0.987,-4.066,-0.421
0,562.017,1.00,-0.862,-3.397,-0.501
1,562.017,0.75,-0.888,-3.345,-0.493
2,562.017,1.20,2.449,10.839,1.293
3,562.017,0.70,-0.597,-3.657,-0.223
4,562.017,1.10,-0.903,-4.128,-0.476
0,562.605,1.00,-0.911,-3.386,-0.428
1,562.605,0.75,-1.014,-3.411,-0.575
2,562.605,1.20,2.453,10.898,1.299
3,562.605,0.70,-0.539,-3.633,-0.169
4,562.605,1.10,-0.814,-4.173,-0.528
0,563.192,1.00,-0.970,-3.453,-0.424
1,563.192,0.75,-1.109,-3.399,-0.554
2,563.192,1.20,2.458,10.957,1.305
3,563.192,0.70,-0.501,-3.607,-0.131
4,563.192,1.10,-0.725,-4.202,-0.577
0,563.779,1.00,-1.086,-3.494,-0.471
1,563.779,0.75,-1.111,-3.438,-0.459
2,563.779,1.20,2.462,11.016,1.312
3,563.779,0.70,-0.479,-3.581,-0.106
4,563.779,1.10,-0.638,-4.218,-0.622
0,564.366,1.00,-1.113,-3.505,-0.388
1,564.366,0.75,-1.213,-3.531,-0.532
2,564.366,1.20,2.467,11.074,1.318
3,564.366,0.70,-0.469,-3.558,-0.093
4,564.366,1.10,-0.554,-4.223,-0.663
0,564.954,1.00,-1.148,-3.589,-0.378
1,564.954,0.75,-1.287,-3.534,-0.505
2,564.954,1.20,2.472,11.133,1.324
3,564.954,0.70,-0.471,-3.539,-0.088
4,564.954,1.10,-0.475,-4.220,-0.700
0,565.541,1.00,-1.242,-3.641,-0.422
1,565.541,0.75,-1.266,-3.587,-0.406
2,565.541,1.20,2.476,11.192,1.331
3,565.541,0.70,-0.483,-3.524,-0.092
4,565.541,1.10,-0.401,-4.211,-0.733
0,566.128,1.00,-1.249,-3.661,-0.335
1,566.128,0.75,-1.347,-3.686,-0.480
2,566.128,1.20,2.481,11.250,1.337
3,566.128,0.70,-0.504,-3.514,-0.103
4,566.128,1.10,-0.332,-4.195,-0.761
0,566.716,1.00,-1.263,-3.751,-0.325
1,566.716,0.75,-1.402,-3.694,-0.450
2,566.716,1.20,2.485,11.309,1.343
3,566.716,0.70,-0.533,-3.509,-0.120
4,566.716,1.10,-0.268,-4.175,-0.786
0,567.303,1.00,-1.339,-3.804,-0.368
1,567.303,0.75,-1.361,-3.752,-0.350
2,567.303,1.20,2.490,11.367,1.350
3,567.303,0.70,-0.570,-3.510,-0.144
4,567.303,1.10,-0.209,-4.151,-0.808
0,567.890,1.00,-1.326,-3.826,-0.280
1,567.890,0.75,-1.424,-3.849,-0.425
2,567.890,1.20,2.494,11.426,1.356
3,567.890,0.70,-0.614,-3.517,-0.172
4,567.890,1.10,-0.154,-4.124,-0.826
0,568.477,1.00,-1.322,-3.914,-0.271
1,568.477,0.75,-1.461,-3.856,-0.393
2,568.477,1.20,2.499,11.484,1.362
3,568.477,0.70,-0.665,-3.530,-0.206
4,568.477,1.10,-0.105,-4.094,-0.840
0,569.065,1.00,-1.381,-3.961,-0.315
1,569.065,0.75,-1.400,-3.914,-0.293
2,569.065,1.20,2.503,11.542,1.368
3,569.065,0.70,-0.723,-3.551,-0.244
4,569.065,1.10,-0.060,-4.063,-0.852
0,569.652,1.00,-1.349,-3.982,-0.225
1,569.652,0.75,-1.448,-4.002,-0.372
2,569.652,1.20,2.508,11.600,1.375
3,569.652,0.70,-0.789,-3.579,-0.285
4,569.652,1.10,-0.020,-4.029,-0.860
0,570.239,1.00,-1.327,-4.062,-0.220
1,570.239,0.75,-1.467,-4.003,-0.340
2,570.239,1.20,2.512,11.659,1.381
3,570.239,0.70,-0.863,-3.617,-0.328
4,570.239,1.10,0.015,-3.995,-0.867
0,570.826,1.00,-1.371,-4.095,-0.267
1,570.826,0.75,-1.382,-4.057,-0.241
2,570.826,1.20,2.517,11.717,1.387
3,570.826,0.70,-0.946,-3.666,-0.371
4,570.826,1.10,0.046,-3.960,-0.870
0,571.414,1.00,-1.315,-4.108,-0.179
1,571.414,0.75,-1.416,-4.126,-0.328
2,571.414,1.20,2.521,11.775,1.394
3,571.414,0.70,-1.039,-3.729,-0.412
4,571.414,1.10,0.072,-3.924,-0.872
0,572.001,1.00,-1.274,-4.171,-0.184
1,572.001,0.75,-1.411,-4.112,-0.300
2,572.001,1.20,2.526,11.833,1.400
3,572.001,0.70,-1.144,-3.810,-0.445
4,572.001,1.10,0.093,-3.889,-0.872
0,572.588,1.00,-1.307,-4.167,-0.243
1,572.588,0.75,-1.291,-4.161,-0.218
2,572.588,1.20,2.530,11.891,1.406
3,572.588,0.70,-1.261,-3.918,-0.462
4,572.588,1.10,0.111,-3.854,-0.870
0,573.176,1.00,-1.218,-4.158,-0.184
1,573.176,0.75,-1.326,-4.173,-0.336
2,573.176,1.20,2.534,11.949,1.412
3,573.176,0.70,-1.380,-4.071,-0.437
4,573.176,1.10,0.125,-3.819,-0.867
0,573.763,1.00,-1.180,-4.184,-0.236
1,573.763,0.75,-1.403,-4.120,-0.403
2,573.763,1.20,2.539,12.007,1.419
3,573.763,0.70,-1.375,-4.242,-0.308
4,573.763,1.10,0.135,-3.785,-0.862
0,574.350,1.00,-1.230,-4.227,-0.318
1,574.350,0.75,-1.486,-4.173,-0.408
2,574.350,1.20,2.543,12.064,1.425
3,574.350,0.70,-1.233,-4.276,-0.205
4,574.350,1.10,0.142,-3.752,-0.856
0,574.937,1.00,-1.328,-4.305,-0.320
1,574.937,0.75,-1.496,-4.249,-0.377
2,574.937,1.20,2.548,12.122,1.431
3,574.937,0.70,-1.096,-4.232,-0.259
4,574.937,1.10,0.145,-3.721,-0.848
0,575.525,1.00,-1.372,-4.362,-0.302
1,575.525,0.75,-1.499,-4.340,-0.336
2,575.525,1.20,2.552,12.180,1.437
3,575.525,0.70,-1.036,-4.200,-0.354
4,575.525,1.10,0.145,-3.690,-0.839
0,576.112,1.00,-1.340,-4.441,-0.262
1,576.112,0.75,-1.564,-4.386,-0.327
2,576.112,1.20,2.556,12.238,1.443
3,576.112,0.70,-1.014,-4.182,-0.447
4,576.112,1.10,0.142,-3.661,-0.830
0,576.699,1.00,-1.352,-4.498,-0.243
1,576.699,0.75,-1.548,-4.447,-0.299
2,576.699,1.20,2.561,12.295,1.450
3,576.699,0.70,-1.012,-4.178,-0.531
4,576.699,1.10,0.135,-3.633,-0.819
0,577.286,1.00,-1.429,-4.530,-0.249
1,577.286,0.00,-1.548,-4.447,-0.299
2,577.286,1.20,2.565,12.353,1.456
3,577.286,0.70,-1.022,-4.183,-0.607
4,577.286,1.10,0.126,-3.607,-0.807
0,577.874,1.75,-1.416,-4.579,-0.235
1,577.874,0.00,-1.548,-4.447,-0.299
2,577.874,1.20,2.569,12.410,1.462
3,577.874,0.70,-1.041,-4.196,-0.673
4,577.874,1.10,0.113,-3.583,-0.794
0,578.461,1.75,-1.399,-4.624,-0.225
1,578.461,0.00,-1.548,-4.447,-0.299
2,578.461,1.20,2.574,12.468,1.468
3,578.461,0.70,-1.066,-4.217,-0.729
4,578.461,1.10,0.097,-3.561,-0.780
0,579.048,1.75,-1.379,-4.666,-0.219
1,579.048,0.00,-1.548,-4.447,-0.299
2,579.048,1.20,2.578,12.525,1.474
3,579.048,0.70,-1.094,-4.244,-0.776
4,579.048,1.10,0.078,-3.540,-0.766
0,579.635,1.75,-1.356,-4.705,-0.217
1,579.635,0.00,-1.548,-4.447,-0.299
2,579.635,1.20,2.582,12.583,1.481
3,579.635,0.70,-1.125,-4.276,-0.816
4,579.635,1.10,0.057,-3.521,-0.751
0,580.223,1.75,-1.331,-4.739,-0.219
1,580.223,0.00,-1.548,-4.447,-0.299
2,580.223,1.20,2.586,12.640,1.487
3,580.223,0.70,-1.158,-4.314,-0.844
4,580.223,1.10,0.033,-3.504,-0.736
0,580.810,1.75,-1.304,-4.771,-0.225
1,580.810,0.00,-1.548,-4.447,-0.299
2,580.810,1.20,2.591,12.697,1.493
3,580.810,0.70,-1.191,-4.357,-0.864
4,580.810,1.10,0.006,-3.489,-0.720
0,581.397,1.75,-1.275,-4.799,-0.236
1,581.397,0.00,-1.548,-4.447,-0.299
2,581.397,1.20,2.595,12.754,1.499
3,581.397,0.70,-1.224,-4.404,-0.874
4,581.397,1.10,-0.023,-3.476,-0.704
0,581.985,1.75,-1.246,-4.824,-0.250
1,581.985,0.00,-1.548,-4.447,-0.299
2,581.985,1.20,2.599,12.812,1.505
3,581.985,0.70,-1.257,-4.457,-0.875
4,581.985,1.10,-0.053,-3.465,-0.688
0,582.572,1.75,-1.216,-4.846,-0.269
1,582.572,0.00,-1.548,-4.447,-0.299
2,582.572,1.20,2.603,12.869,1.511
3,582.572,0.70,-1.288,-4.515,-0.865
4,582.572,1.10,-0.086,-3.456,-0.671
0,583.159,1.75,-1.185,-4.863,-0.293
1,583.159,0.00,-1.548,-4.447,-0.299
2,583.159,1.20,2.608,12.926,1.518
3,583.159,0.70,-1.317,-4.579,-0.840
4,583.159,1.10,-0.121,-3.450,-0.654
0,583.746,1.75,-1.155,-4.876,-0.325
1,583.746,0.00,-1.548,-4.447,-0.299
2,583.746,1.20,2.612,12.983,1.524
3,583.746,0.70,-1.340,-4.651,-0.798
4,583.746,1.10,-0.159,-3.446,-0.637
0,584.334,1.75,-1.128,-4.884,-0.365
1,584.334,0.00,-1.548,-4.447,-0.299
2,584.334,1.20,2.616,13.040,1.530
3,584.334,0.70,-1.354,-4.730,-0.738
4,584.334,1.10,-0.198,-3.445,-0.619
0,584.921,1.75,-1.106,-4.887,-0.415
1,584.921,0.00,-1.548,-4.447,-0.299
2,584.921,1.20,2.620,13.097,1.536
3,584.921,0.70,-1.351,-4.820,-0.651
4,584.921,1.10,-0.239,-3.446,-0.601
0,585.508,1.75,-1.103,-4.884,-0.482
1,585.508,0.00,-1.548,-4.447,-0.299
2,585.508,1.20,2.625,13.154,1.542
3,585.508,0.70,-1.297,-4.917,-0.523
4,585.508,1.10,-0.282,-3.450,-0.583
0,586.096,1.75,-1.161,-4.905,-0.538
1,586.096,0.00,-1.548,-4.447,-0.299
2,586.096,1.20,2.629,13.211,1.548
3,586.096,0.70,-1.089,-4.953,-0.421
4,586.096,1.10,-0.327,-3.456,-0.565
0,586.683,1.75,-1.202,-4.964,-0.519
1,586.683,0.00,-1.548,-4.447,-0.299
2,586.683,1.20,2.633,13.267,1.554
3,586.683,0.70,-0.923,-4.888,-0.509
4,586.683,1.10,-0.374,-3.466,-0.546
0,587.270,1.75,-1.205,-5.015,-0.493
1,587.270,0.00,-1.548,-4.447,-0.299
2,587.270,1.20,2.637,13.324,1.560
3,587.270,0.70,-0.846,-4.837,-0.614
4,587.270,1.10,-0.422,-3.480,-0.528
0,587.857,1.75,-1.193,-5.057,-0.471
