DATE,DLY-TMIN-NORMAL,DLY-TMAX-NORMAL,PRECIPITATION,TEMP-LOW,TEMP-HIGH
20100101,-33,145,2,-3.3,14.5
20100102,-35,144,4,-3.5,14.4
20100103,-36,143,5,-3.6,14.3
20100104,-38,142,7,-3.8,14.2
20100105,-39,141,9,-3.9,14.1
20100106,-41,140,10,-4.1,14
20100107,-42,140,12,-4.2,14
20100108,-43,139,13,-4.3,13.9
20100109,-44,139,15,-4.4,13.9
20100110,-45,139,17,-4.5,13.9
20100111,-45,138,19,-4.5,13.8
20100112,-46,139,21,-4.6,13.9
20100113,-47,139,23,-4.7,13.9
20100114,-47,139,25,-4.7,13.9
20100115,-47,140,27,-4.7,14
20100116,-47,140,30,-4.7,14
20100117,-48,141,32,-4.8,14.1
20100118,-48,142,34,-4.8,14.2
20100119,-47,143,35,-4.7,14.3
20100120,-47,144,37,-4.7,14.4
20100121,-47,145,39,-4.7,14.5
20100122,-46,146,41,-4.6,14.6
20100123,-46,148,43,-4.6,14.8
20100124,-45,149,44,-4.5,14.9
20100125,-44,151,46,-4.4,15.1
20100126,-43,152,47,-4.3,15.2
20100127,-42,154,49,-4.2,15.4
20100128,-41,156,50,-4.1,15.6
20100129,-40,158,52,-4,15.8
20100130,-38,160,54,-3.8,16
20100131,-37,162,55,-3.7,16.2
20100201,-35,164,1,-3.5,16.4
20100202,-33,166,3,-3.3,16.6
20100203,-31,169,4,-3.1,16.9
20100204,-29,171,6,-2.9,17.1
20100205,-27,173,7,-2.7,17.3
20100206,-25,176,8,-2.5,17.6
20100207,-22,178,10,-2.2,17.8
20100208,-20,181,11,-2,18.1
20100209,-17,183,12,-1.7,18.3
20100210,-14,186,13,-1.4,18.6
20100211,-11,188,15,-1.1,18.8
20100212,-8,191,16,-0.8,19.1
20100213,-5,194,18,-0.5,19.4
20100214,-1,196,19,-0.1,19.6
20100215,2,199,21,0.2,19.9
20100216,6,202,22,0.6,20.2
20100217,9,205,24,0.9,20.5
20100218,13,207,25,1.3,20.7
20100219,17,210,27,1.7,21
20100220,21,213,29,2.1,21.3
20100221,25,216,31,2.5,21.6
20100222,29,219,32,2.9,21.9
20100223,33,223,34,3.3,22.3
20100224,38,226,36,3.8,22.6
20100225,42,229,38,4.2,22.9
20100226,47,232,40,4.7,23.2
20100227,52,236,42,5.2,23.6
20100228,56,239,44,5.6,23.9
20100301,61,243,2,6.1,24.3
20100302,66,247,4,6.6,24.7
20100303,71,251,7,7.1,25.1
20100304,76,254,9,7.6,25.4
20100305,81,259,11,8.1,25.9
20100306,86,263,13,8.6,26.3
20100307,91,267,15,9.1,26.7
20100308,97,272,18,9.7,27.2
20100309,102,276,20,10.2,27.6
20100310,107,281,22,10.7,28.1
20100311,112,286,24,11.2,28.6
20100312,118,291,26,11.8,29.1
20100313,123,296,28,12.3,29.6
20100314,129,301,30,12.9,30.1
20100315,134,307,32,13.4,30.7
20100316,140,313,35,14,31.3
20100317,145,318,37,14.5,31.8
20100318,151,324,39,15.1,32.4
20100319,156,330,42,15.6,33
20100320,161,336,45,16.1,33.6
20100321,167,343,47,16.7,34.3
20100322,172,349,50,17.2,34.9
20100323,178,356,52,17.8,35.6
20100324,183,363,55,18.3,36.3
20100325,189,369,57,18.9,36.9
20100326,194,376,60,19.4,37.6
20100327,199,383,62,19.9,38.3
20100328,205,390,64,20.5,39
20100329,210,397,67,21,39.7
20100330,215,405,69,21.5,40.5
20100331,221,412,72,22.1,41.2
20100401,226,419,2,22.6,41.9
20100402,231,426,5,23.1,42.6
20100403,236,434,7,23.6,43.4
20100404,241,441,10,24.1,44.1
20100405,246,448,12,24.6,44.8
20100406,251,456,15,25.1,45.6
20100407,256,463,18,25.6,46.3
20100408,261,470,20,26.1,47
20100409,266,477,23,26.6,47.7
20100410,270,484,25,27,48.4
20100411,275,491,28,27.5,49.1
20100412,280,498,30,28,49.8
20100413,284,505,33,28.4,50.5
20100414,289,512,36,28.9,51.2
20100415,294,518,38,29.4,51.8
20100416,298,525,41,29.8,52.5
20100417,302,531,44,30.2,53.1
20100418,307,537,47,30.7,53.7
20100419,311,543,50,31.1,54.3
20100420,315,549,53,31.5,54.9
20100421,320,555,56,32,55.5
20100422,324,560,60,32.4,56
20100423,328,566,64,32.8,56.6
20100424,332,571,68,33.2,57.1
20100425,336,576,73,33.6,57.6
20100426,340,581,77,34,58.1
20100427,344,586,82,34.4,58.6
20100428,348,591,88,34.8,59.1
20100429,352,596,93,35.2,59.6
20100430,356,600,98,35.6,60
20100501,360,604,6,36,60.4
20100502,364,609,12,36.4,60.9
20100503,368,613,18,36.8,61.3
20100504,371,617,24,37.1,61.7
20100505,375,620,30,37.5,62
20100506,379,624,37,37.9,62.4
20100507,383,628,44,38.3,62.8
20100508,387,631,51,38.7,63.1
20100509,391,635,58,39.1,63.5
20100510,394,638,66,39.4,63.8
20100511,398,642,74,39.8,64.2
20100512,402,645,82,40.2,64.5
20100513,406,648,90,40.6,64.8
20100514,409,651,98,40.9,65.1
20100515,413,654,105,41.3,65.4
20100516,417,657,113,41.7,65.7
20100517,421,660,122,42.1,66
20100518,425,663,131,42.5,66.3
20100519,428,666,139,42.8,66.6
20100520,432,669,148,43.2,66.9
20100521,436,672,156,43.6,67.2
20100522,440,675,165,44,67.5
20100523,444,678,173,44.4,67.8
20100524,447,681,182,44.7,68.1
20100525,451,684,191,45.1,68.4
20100526,455,687,200,45.5,68.7
20100527,459,690,209,45.9,69
20100528,462,693,218,46.2,69.3
20100529,466,696,228,46.6,69.6
20100530,470,699,238,47,69.9
20100531,473,702,249,47.3,70.2
20100601,477,705,11,47.7,70.5
20100602,481,708,22,48.1,70.8
20100603,484,711,33,48.4,71.1
20100604,488,714,45,48.8,71.4
20100605,491,717,56,49.1,71.7
20100606,495,719,67,49.5,71.9
20100607,498,722,79,49.8,72.2
20100608,501,725,90,50.1,72.5
20100609,505,728,102,50.5,72.8
20100610,508,731,114,50.8,73.1
20100611,511,733,126,51.1,73.3
20100612,514,736,138,51.4,73.6
20100613,517,739,151,51.7,73.9
20100614,520,741,165,52,74.1
20100615,523,744,177,52.3,74.4
20100616,525,746,190,52.5,74.6
20100617,528,749,204,52.8,74.9
20100618,531,751,217,53.1,75.1
20100619,533,753,231,53.3,75.3
20100620,536,756,244,53.6,75.6
20100621,538,758,258,53.8,75.8
20100622,540,760,271,54,76
20100623,542,762,284,54.2,76.2
20100624,544,764,298,54.4,76.4
20100625,546,766,311,54.6,76.6
20100626,548,768,324,54.8,76.8
20100627,549,769,338,54.9,76.9
20100628,551,771,351,55.1,77.1
20100629,553,773,363,55.3,77.3
20100630,554,774,376,55.4,77.4
20100701,555,776,12,55.5,77.6
20100702,557,778,24,55.7,77.8
20100703,558,779,37,55.8,77.9
20100704,559,780,49,55.9,78
20100705,560,782,61,56,78.2
20100706,561,783,73,56.1,78.3
20100707,562,784,85,56.2,78.4
20100708,562,786,97,56.2,78.6
20100709,563,787,109,56.3,78.7
20100710,564,788,121,56.4,78.8
20100711,564,789,131,56.4,78.9
20100712,565,790,142,56.5,79
20100713,565,791,153,56.5,79.1
20100714,566,792,163,56.6,79.2
20100715,566,793,174,56.6,79.3
20100716,566,794,184,56.6,79.4
20100717,566,795,194,56.6,79.5
20100718,567,796,203,56.7,79.6
20100719,567,797,213,56.7,79.7
20100720,567,798,223,56.7,79.8
20100721,567,799,233,56.7,79.9
20100722,567,800,243,56.7,80
20100723,567,800,252,56.7,80
20100724,567,801,261,56.7,80.1
20100725,566,802,270,56.6,80.2
20100726,566,802,279,56.6,80.2
20100727,566,803,287,56.6,80.3
20100728,566,803,296,56.6,80.3
20100729,565,804,304,56.5,80.4
20100730,565,804,313,56.5,80.4
20100731,564,805,322,56.4,80.5
20100801,564,805,9,56.4,80.5
20100802,563,805,18,56.3,80.5
20100803,563,805,27,56.3,80.5
20100804,562,805,36,56.2,80.5
20100805,561,805,45,56.1,80.5
20100806,560,804,53,56,80.4
20100807,559,804,62,55.9,80.4
20100808,558,804,70,55.8,80.4
20100809,557,803,79,55.7,80.3
20100810,556,802,88,55.6,80.2
20100811,555,801,98,55.5,80.1
20100812,553,800,107,55.3,80
20100813,552,799,116,55.2,79.9
20100814,550,798,125,55,79.8
20100815,548,796,134,54.8,79.6
20100816,546,795,143,54.6,79.5
20100817,544,793,152,54.4,79.3
20100818,542,791,161,54.2,79.1
20100819,540,789,170,54,78.9
20100820,538,787,179,53.8,78.7
20100821,535,784,188,53.5,78.4
20100822,533,782,197,53.3,78.2
20100823,530,779,206,53,77.9
20100824,527,777,216,52.7,77.7
20100825,524,774,225,52.4,77.4
20100826,521,770,234,52.1,77
20100827,518,767,242,51.8,76.7
20100828,515,764,250,51.5,76.4
20100829,511,760,259,51.1,76
20100830,508,757,267,50.8,75.7
20100831,504,753,275,50.4,75.3
20100901,501,749,8,50.1,74.9
20100902,497,745,16,49.7,74.5
20100903,493,741,23,49.3,74.1
20100904,489,737,31,48.9,73.7
20100905,485,733,39,48.5,73.3
20100906,481,729,46,48.1,72.9
20100907,476,725,54,47.6,72.5
20100908,472,720,61,47.2,72
20100909,468,716,68,46.8,71.6
20100910,463,711,75,46.3,71.1
20100911,459,707,82,45.9,70.7
20100912,454,702,89,45.4,70.2
20100913,450,697,96,45,69.7
20100914,445,693,103,44.5,69.3
20100915,441,688,109,44.1,68.8
20100916,436,684,116,43.6,68.4
20100917,431,679,122,43.1,67.9
20100918,427,674,129,42.7,67.4
20100919,422,669,135,42.2,66.9
20100920,418,665,142,41.8,66.5
20100921,413,660,148,41.3,66
20100922,409,655,154,40.9,65.5
20100923,404,650,161,40.4,65
20100924,400,646,168,40,64.6
20100925,395,641,174,39.5,64.1
20100926,391,636,181,39.1,63.6
20100927,387,631,188,38.7,63.1
20100928,382,627,195,38.2,62.7
20100929,378,622,202,37.8,62.2
20100930,374,617,208,37.4,61.7
20101001,370,612,7,37,61.2
20101002,366,607,13,36.6,60.7
20101003,361,602,20,36.1,60.2
20101004,357,597,27,35.7,59.7
20101005,353,592,33,35.3,59.2
20101006,349,587,40,34.9,58.7
20101007,346,582,46,34.6,58.2
20101008,342,577,53,34.2,57.7
20101009,338,572,58,33.8,57.2
20101010,334,567,64,33.4,56.7
20101011,330,562,70,33,56.2
20101012,326,556,76,32.6,55.6
20101013,322,551,82,32.2,55.1
20101014,318,545,88,31.8,54.5
20101015,315,540,94,31.5,54
20101016,311,534,100,31.1,53.4
20101017,307,528,106,30.7,52.8
20101018,303,522,112,30.3,52.2
20101019,299,516,117,29.9,51.6
20101020,295,511,123,29.5,51.1
20101021,291,504,128,29.1,50.4
20101022,287,498,133,28.7,49.8
20101023,283,492,137,28.3,49.2
20101024,279,486,141,27.9,48.6
20101025,274,479,145,27.4,47.9
20101026,270,473,149,27,47.3
20101027,266,466,154,26.6,46.6
20101028,261,460,158,26.1,46
20101029,257,453,161,25.7,45.3
20101030,252,447,165,25.2,44.7
20101031,248,440,169,24.8,44
20101101,243,433,3,24.3,43.3
20101102,238,426,6,23.8,42.6
20101103,233,419,9,23.3,41.9
20101104,228,413,12,22.8,41.3
20101105,223,406,15,22.3,40.6
20101106,218,399,18,21.8,39.9
20101107,213,392,21,21.3,39.2
20101108,207,385,24,20.7,38.5
20101109,202,378,27,20.2,37.8
20101110,197,371,30,19.7,37.1
20101111,191,365,32,19.1,36.5
20101112,186,358,35,18.6,35.8
20101113,180,351,38,18,35.1
20101114,175,344,41,17.5,34.4
20101115,169,338,43,16.9,33.8
20101116,163,331,46,16.3,33.1
20101117,157,325,49,15.7,32.5
20101118,152,318,51,15.2,31.8
20101119,146,312,54,14.6,31.2
20101120,140,306,57,14,30.6
20101121,134,300,60,13.4,30
20101122,129,294,62,12.9,29.4
20101123,123,288,65,12.3,28.8
20101124,117,282,67,11.7,28.2
20101125,112,276,70,11.2,27.6
20101126,106,271,72,10.6,27.1
20101127,100,265,74,10,26.5
20101128,95,260,77,9.5,26
20101129,89,254,79,8.9,25.4
20101130,84,249,81,8.4,24.9
20101201,78,244,3,7.8,24.4
20101202,73,239,5,7.3,23.9
20101203,68,234,8,6.8,23.4
20101204,63,230,11,6.3,23
20101205,58,225,13,5.8,22.5
20101206,53,221,16,5.3,22.1
20101207,48,216,19,4.8,21.6
20101208,44,212,22,4.4,21.2
20101209,39,208,24,3.9,20.8
20101210,34,204,27,3.4,20.4
20101211,30,200,30,3,20
20101212,26,196,32,2.6,19.6
20101213,22,193,35,2.2,19.3
20101214,18,189,37,1.8,18.9
20101215,14,186,39,1.4,18.6
20101216,10,182,41,1,18.2
20101217,7,179,44,0.7,17.9
20101218,3,176,46,0.3,17.6
20101219,0,173,48,0,17.3
20101220,-4,170,50,-0.4,17
20101221,-7,168,52,-0.7,16.8
20101222,-10,165,53,-1,16.5
20101223,-13,162,55,-1.3,16.2
20101224,-15,160,58,-1.5,16
20101225,-18,158,60,-1.8,15.8
20101226,-21,156,62,-2.1,15.6
20101227,-23,154,64,-2.3,15.4
20101228,-25,152,67,-2.5,15.2
20101229,-27,150,69,-2.7,15
20101230,-29,148,71,-2.9,14.8
20101231,-31,147,73,-3.1,14.7
